
id,service_type,cancellation_policy,can_provide_oral_medication,can_provide_injected_medication,senior_dog_experience,special_needs_experience,takes_small_dogs,takes_medium_dogs,takes_large_dogs,takes_puppies,max_dogs,provider_id,fee,price,added
13913,dog-walking,flexible,1,0,1,0,0,1,1,1,4,8188,0.2,26,"2018-03-10 02:51:31.771009"
13914,boarding,strict,1,0,0,0,1,1,0,1,4,8189,0.2,35,"2017-09-27 11:24:17.486618"
13915,dog-walking,flexible,1,0,1,0,0,1,0,0,5,8189,0.2,22,"2017-09-27 11:24:17.486618"
13916,dog-walking,flexible,1,0,1,1,1,1,0,0,4,8190,0.2,25,"2017-12-15 09:06:38.519481"
13917,boarding,strict,1,0,1,1,1,0,1,1,3,8191,0.15,34,"2016-12-02 06:06:58.079636"
13918,dog-walking,strict,0,1,1,1,1,1,1,1,4,8191,0.15,20,"2016-12-02 06:06:58.079636"
13919,boarding,moderate,1,0,1,0,0,1,1,1,3,8192,0.2,33,"2018-01-07 16:55:00.304965"
13920,dog-walking,strict,0,0,1,0,1,1,1,1,2,8192,0.2,22,"2018-01-07 16:55:00.304965"
13921,boarding,flexible,1,1,1,0,1,0,0,0,2,8193,0.2,30,"2018-03-29 06:47:41.776638"
13922,dog-walking,moderate,1,0,1,0,1,1,0,1,3,8194,0.2,21,"2017-07-25 08:43:12.451724"
13923,day-care,moderate,1,0,1,0,1,0,0,1,5,8195,0.2,28,"2018-07-24 21:17:10.518547"
13924,boarding,strict,0,0,0,1,1,1,0,0,3,8196,0.2,39,"2018-04-11 03:51:59.927892"
13925,dog-walking,moderate,1,0,1,0,1,1,0,1,5,8196,0.2,22,"2018-04-11 03:51:59.927892"
13926,dog-walking,flexible,0,0,1,0,1,1,1,1,8,8197,0.2,25,"2018-05-14 01:04:08.367985"
13927,day-care,moderate,1,0,1,1,1,0,1,1,3,8197,0.2,24,"2018-05-14 01:04:08.367985"
13928,boarding,strict,1,0,1,0,1,1,1,1,5,8198,0.2,35,"2017-12-23 10:42:09.054522"
13929,boarding,flexible,1,0,1,1,1,0,0,0,3,8199,0.2,36,"2018-06-05 09:19:36.320456"
13930,day-care,flexible,1,1,0,1,1,1,1,1,6,8199,0.2,29,"2018-06-05 09:19:36.320456"
13931,boarding,moderate,1,0,1,0,1,1,0,1,3,8200,0.2,37,"2017-09-30 16:21:30.966785"
13932,dog-walking,moderate,1,0,1,0,1,1,1,1,4,8200,0.2,23,"2017-09-30 16:21:30.966785"
13933,dog-walking,strict,1,0,0,1,1,0,0,1,4,8201,0.2,19,"2018-02-06 03:04:10.067122"
13934,boarding,moderate,1,1,1,1,1,1,0,1,1,8202,0.2,35,"2018-06-07 19:00:14.959989"
13935,boarding,strict,1,0,1,0,1,1,1,1,3,8203,0.2,38,"2018-07-24 18:19:27.434905"
13936,boarding,flexible,1,1,1,0,0,1,0,1,5,8204,0.2,35,"2018-07-21 20:43:27.693733"
13937,dog-walking,strict,0,1,1,0,1,0,1,1,2,8204,0.2,23,"2018-07-21 20:43:27.693733"
13938,boarding,strict,1,1,1,1,1,1,1,1,3,8205,0.2,38,"2018-03-27 22:43:55.415864"
13939,dog-walking,flexible,1,0,1,1,1,1,0,1,1,8205,0.2,25,"2018-03-27 22:43:55.415864"
13940,day-care,strict,1,0,0,0,1,1,0,1,3,8205,0.2,26,"2018-03-27 22:43:55.415864"
13941,boarding,flexible,1,0,1,1,1,1,0,0,6,8206,0.15,41,"2017-02-15 21:53:28.682224"
13942,day-care,moderate,1,0,0,1,0,1,0,1,5,8206,0.15,29,"2017-02-15 21:53:28.682224"
13943,day-care,moderate,1,1,1,0,1,1,0,1,3,8207,0.2,23,"2017-12-09 05:19:43.844838"
13944,boarding,moderate,1,0,0,0,1,1,0,1,3,8208,0.2,39,"2017-11-29 22:58:16.911936"
13945,dog-walking,flexible,1,0,1,0,1,1,1,0,5,8208,0.2,21,"2017-11-29 22:58:16.911936"
13946,day-care,moderate,1,0,1,0,1,1,0,1,3,8209,0.2,27,"2017-09-26 09:52:15.471036"
13947,dog-walking,moderate,1,0,1,0,1,1,1,1,4,8210,0.2,25,"2017-06-21 10:35:30.537201"
13948,dog-walking,moderate,1,0,1,1,1,0,1,1,5,8211,0.2,22,"2017-11-10 00:38:42.655425"
13949,boarding,flexible,1,1,1,0,1,1,0,1,4,8212,0.2,34,"2018-06-21 02:35:44.087168"
13950,boarding,moderate,1,0,0,1,1,0,0,1,6,8213,0.2,37,"2017-07-24 06:36:29.987290"
13951,boarding,strict,1,0,1,0,1,1,1,1,4,8214,0.2,37,"2017-11-27 21:19:27.158329"
13952,day-care,flexible,1,0,0,0,1,1,0,1,2,8214,0.2,31,"2017-11-27 21:19:27.158329"
13953,dog-walking,flexible,1,0,1,0,1,1,0,1,1,8215,0.2,20,"2018-06-10 19:02:11.567848"
13954,day-care,strict,1,0,1,0,0,1,0,1,4,8215,0.2,27,"2018-06-10 19:02:11.567848"
13955,boarding,strict,1,0,1,0,1,0,0,0,5,8216,0.2,35,"2018-01-03 19:52:11.678094"
13956,dog-walking,flexible,1,0,1,0,1,1,0,0,2,8216,0.2,18,"2018-01-03 19:52:11.678094"
13957,day-care,moderate,1,0,1,0,1,1,1,1,3,8216,0.2,29,"2018-01-03 19:52:11.678094"
13958,boarding,moderate,1,0,1,1,1,1,1,1,2,8217,0.2,29,"2018-07-15 06:16:17.434553"
13959,day-care,strict,0,0,1,1,1,1,0,1,5,8217,0.2,28,"2018-07-15 06:16:17.434553"
13960,boarding,strict,1,0,1,0,1,1,1,1,3,8218,0.2,32,"2018-06-02 06:19:59.850052"
13961,dog-walking,flexible,1,0,1,0,1,1,0,0,4,8218,0.2,16,"2018-06-02 06:19:59.850052"
13962,day-care,moderate,1,0,1,0,0,1,1,1,5,8218,0.2,24,"2018-06-02 06:19:59.850052"
13963,day-care,flexible,0,0,1,1,1,0,0,0,2,8219,0.2,24,"2018-06-21 23:06:30.590967"
13964,boarding,moderate,1,0,1,0,0,1,0,0,5,8220,0.15,32,"2017-03-26 04:35:57.898102"
13965,dog-walking,flexible,1,0,0,0,1,1,1,1,5,8220,0.15,19,"2017-03-26 04:35:57.898102"
13966,day-care,moderate,1,0,1,0,1,1,1,1,3,8220,0.15,30,"2017-03-26 04:35:57.898102"
13967,boarding,strict,1,0,1,1,1,1,1,1,3,8221,0.2,37,"2017-07-10 23:47:20.792176"
13968,dog-walking,flexible,1,0,1,0,1,0,1,1,2,8222,0.15,25,"2017-04-04 07:35:03.052293"
13969,day-care,flexible,0,1,1,0,1,1,0,1,3,8222,0.15,24,"2017-04-04 07:35:03.052293"
13970,dog-walking,moderate,1,0,1,0,1,1,0,0,2,8223,0.15,24,"2017-05-12 14:12:15.143471"
13971,boarding,flexible,1,1,1,0,1,1,0,1,2,8224,0.2,34,"2018-03-03 09:25:56.259056"
13972,boarding,strict,0,1,1,0,1,1,0,0,6,8225,0.2,34,"2017-09-26 16:43:32.478159"
13973,day-care,moderate,1,1,1,0,1,0,1,0,3,8225,0.2,28,"2017-09-26 16:43:32.478159"
13974,dog-walking,strict,1,0,1,0,1,1,1,1,5,8226,0.2,24,"2017-07-29 09:22:14.797943"
13975,day-care,moderate,1,1,1,1,0,1,0,1,2,8226,0.2,22,"2017-07-29 09:22:14.797943"
13976,boarding,flexible,0,0,1,0,1,1,1,1,5,8227,0.2,31,"2018-01-30 00:43:04.680231"
13977,dog-walking,strict,1,0,1,0,0,1,1,1,3,8228,0.2,24,"2018-07-05 11:52:41.218000"
13978,boarding,strict,1,0,1,0,1,1,0,1,3,8229,0.15,39,"2017-01-30 11:01:34.992141"
13979,dog-walking,flexible,0,0,1,1,1,1,1,0,2,8229,0.15,22,"2017-01-30 11:01:34.992141"
13980,day-care,flexible,1,0,1,1,1,0,0,0,2,8229,0.15,27,"2017-01-30 11:01:34.992141"
13981,boarding,flexible,1,0,1,0,1,1,0,1,2,8230,0.2,31,"2018-06-20 02:52:03.101736"
13982,dog-walking,flexible,0,1,1,0,1,0,1,0,7,8230,0.2,20,"2018-06-20 02:52:03.101736"
13983,day-care,moderate,1,0,1,0,1,1,1,1,1,8231,0.2,30,"2017-06-12 00:44:41.906626"
13984,boarding,flexible,0,0,1,0,0,1,0,1,6,8232,0.2,35,"2018-04-08 08:26:02.901342"
13985,dog-walking,moderate,0,0,1,0,1,0,1,0,7,8232,0.2,20,"2018-04-08 08:26:02.901342"
13986,boarding,moderate,1,0,1,0,1,1,0,0,1,8233,0.2,32,"2018-03-11 05:11:29.022233"
13987,dog-walking,moderate,1,0,1,0,1,1,0,1,4,8233,0.2,17,"2018-03-11 05:11:29.022233"
13988,boarding,strict,1,0,1,0,1,0,1,0,3,8234,0.2,39,"2018-07-16 09:41:32.877426"
13989,dog-walking,flexible,1,0,1,0,1,0,0,1,3,8234,0.2,25,"2018-07-16 09:41:32.877426"
13990,day-care,moderate,1,0,0,0,1,1,1,1,3,8234,0.2,27,"2018-07-16 09:41:32.877426"
13991,boarding,moderate,1,0,0,0,1,1,0,1,1,8235,0.2,35,"2018-07-27 11:24:56.605337"
13992,dog-walking,moderate,1,0,1,0,1,1,1,1,3,8235,0.2,25,"2018-07-27 11:24:56.605337"
13993,day-care,flexible,1,0,1,0,1,1,0,1,3,8235,0.2,26,"2018-07-27 11:24:56.605337"
13994,day-care,moderate,1,0,1,0,1,1,0,1,4,8236,0.2,27,"2017-07-05 10:57:40.220657"
13995,dog-walking,strict,1,0,0,0,0,1,1,0,3,8237,0.2,23,"2018-07-13 17:02:21.456100"
13996,boarding,flexible,1,0,1,0,1,1,1,1,4,8238,0.2,38,"2017-09-12 04:22:14.376503"
13997,dog-walking,flexible,0,1,1,0,1,1,0,1,3,8238,0.2,26,"2017-09-12 04:22:14.376503"
13998,day-care,moderate,1,0,1,0,1,1,1,1,2,8239,0.2,24,"2017-12-10 23:38:08.239309"
13999,dog-walking,flexible,0,0,1,0,1,1,0,1,1,8240,0.2,25,"2017-11-10 02:32:27.669397"
14000,day-care,flexible,1,0,1,0,0,1,1,1,3,8240,0.2,25,"2017-11-10 02:32:27.669397"
14001,dog-walking,strict,1,0,1,0,1,1,1,1,2,8241,0.15,17,"2017-04-25 15:24:40.671358"
14002,day-care,flexible,1,0,1,0,1,1,1,1,1,8241,0.15,30,"2017-04-25 15:24:40.671358"
14003,dog-walking,moderate,1,0,1,0,1,1,0,1,4,8242,0.2,21,"2018-07-14 15:27:19.987148"
14004,day-care,moderate,1,0,1,1,1,1,1,1,4,8242,0.2,28,"2018-07-14 15:27:19.987148"
14005,dog-walking,flexible,1,0,1,0,1,1,0,1,5,8243,0.2,22,"2017-07-22 03:20:43.556884"
14006,day-care,flexible,1,1,1,0,0,0,0,1,3,8243,0.2,27,"2017-07-22 03:20:43.556884"
14007,boarding,moderate,1,0,1,0,1,0,1,0,3,8244,0.2,30,"2017-09-17 18:00:17.413628"
14008,day-care,moderate,1,0,1,1,1,1,0,1,4,8244,0.2,28,"2017-09-17 18:00:17.413628"
14009,dog-walking,moderate,1,0,1,0,1,0,0,1,2,8245,0.15,22,"2017-04-23 08:44:30.286783"
14010,day-care,flexible,1,0,1,0,1,1,0,1,5,8245,0.15,27,"2017-04-23 08:44:30.286783"
14011,boarding,flexible,1,0,0,0,1,0,1,1,5,8246,0.2,31,"2018-06-12 18:59:16.003000"
14012,dog-walking,strict,1,1,0,1,1,1,1,1,4,8246,0.2,24,"2018-06-12 18:59:16.003000"
14013,day-care,moderate,1,0,1,0,1,1,1,1,2,8246,0.2,26,"2018-06-12 18:59:16.003000"
14014,day-care,strict,1,0,1,1,1,1,1,0,6,8247,0.2,23,"2018-06-27 13:16:29.764641"
14015,day-care,flexible,0,0,0,0,1,1,0,1,3,8248,0.2,26,"2018-05-19 20:41:29.045453"
14016,boarding,flexible,1,0,1,0,1,1,0,1,3,8249,0.2,29,"2018-05-06 23:54:14.521429"
14017,day-care,strict,1,0,1,0,1,1,1,1,3,8249,0.2,31,"2018-05-06 23:54:14.521429"
14018,day-care,strict,1,0,1,0,1,1,0,1,5,8250,0.15,30,"2017-04-27 12:53:16.854763"
14019,dog-walking,strict,1,0,1,0,1,1,1,0,5,8251,0.2,16,"2018-05-26 18:56:15.853089"
14020,boarding,moderate,1,1,1,0,1,1,0,0,1,8252,0.2,33,"2017-08-17 03:34:02.131361"
14021,dog-walking,strict,1,0,1,0,0,1,1,1,2,8252,0.2,22,"2017-08-17 03:34:02.131361"
14022,day-care,strict,1,0,1,0,1,1,1,1,6,8252,0.2,26,"2017-08-17 03:34:02.131361"
14023,dog-walking,strict,1,0,1,0,1,1,1,1,3,8253,0.2,20,"2017-07-05 09:39:11.786900"
14024,day-care,flexible,1,0,1,0,1,0,0,1,5,8253,0.2,33,"2017-07-05 09:39:11.786900"
14025,dog-walking,flexible,1,0,1,0,1,1,1,1,2,8254,0.2,21,"2017-06-15 02:07:45.548506"
14026,day-care,flexible,0,0,1,0,1,1,1,0,2,8255,0.15,31,"2017-01-16 22:47:32.826346"
14027,dog-walking,strict,1,1,1,0,0,1,0,1,5,8256,0.2,22,"2017-10-20 06:27:31.454889"
14028,day-care,strict,1,0,1,0,1,0,0,0,5,8256,0.2,29,"2017-10-20 06:27:31.454889"
14029,boarding,strict,1,0,1,0,1,1,1,1,7,8257,0.2,36,"2018-03-29 20:19:09.632844"
14030,day-care,strict,1,0,1,0,1,0,1,1,5,8257,0.2,24,"2018-03-29 20:19:09.632844"
14031,boarding,moderate,1,0,1,0,1,0,0,1,4,8258,0.2,34,"2018-04-12 01:56:52.325139"
14032,dog-walking,flexible,1,0,0,0,1,1,1,1,1,8258,0.2,18,"2018-04-12 01:56:52.325139"
14033,day-care,moderate,1,0,1,1,1,1,1,1,5,8258,0.2,27,"2018-04-12 01:56:52.325139"
14034,boarding,strict,1,1,1,0,1,1,1,1,5,8259,0.2,37,"2018-05-05 21:15:40.678384"
14035,dog-walking,flexible,1,1,1,0,1,1,1,1,3,8259,0.2,20,"2018-05-05 21:15:40.678384"
14036,boarding,strict,1,1,1,1,1,0,0,1,3,8260,0.2,35,"2017-07-25 14:38:19.345230"
14037,dog-walking,moderate,1,0,1,0,1,1,1,0,4,8260,0.2,23,"2017-07-25 14:38:19.345230"
14038,day-care,strict,1,0,1,0,1,1,0,0,4,8261,0.2,21,"2018-03-19 10:07:16.833488"
14039,boarding,strict,1,0,1,0,1,1,1,1,5,8262,0.2,27,"2017-12-24 20:11:35.894968"
14040,day-care,strict,1,0,1,1,1,1,1,0,7,8262,0.2,22,"2017-12-24 20:11:35.894968"
14041,dog-walking,flexible,1,0,1,1,1,1,1,0,4,8263,0.2,19,"2018-07-29 16:35:48.012446"
14042,boarding,strict,1,0,1,0,1,1,0,1,5,8264,0.2,29,"2017-10-29 17:03:33.875475"
14043,boarding,strict,1,1,1,0,1,1,0,1,1,8265,0.2,39,"2017-11-20 11:27:42.766359"
14044,dog-walking,flexible,1,1,0,0,1,0,0,0,4,8265,0.2,28,"2017-11-20 11:27:42.766359"
14045,boarding,moderate,1,0,1,0,1,1,1,1,2,8266,0.2,38,"2018-02-22 08:48:37.402784"
14046,boarding,flexible,0,0,1,0,1,1,0,1,5,8267,0.2,36,"2017-09-17 16:15:12.294122"
14047,dog-walking,flexible,1,0,1,0,1,1,0,1,4,8267,0.2,23,"2017-09-17 16:15:12.294122"
14048,day-care,moderate,1,0,1,0,1,1,1,1,4,8267,0.2,28,"2017-09-17 16:15:12.294122"
14049,boarding,flexible,1,0,1,0,1,1,0,1,2,8268,0.2,37,"2017-11-07 08:05:03.582522"
14050,day-care,moderate,1,0,1,1,1,1,0,1,2,8268,0.2,24,"2017-11-07 08:05:03.582522"
14051,boarding,strict,1,0,1,0,1,0,1,1,3,8269,0.2,33,"2017-11-14 10:35:31.405920"
14052,dog-walking,strict,1,0,1,0,1,1,0,1,3,8269,0.2,19,"2017-11-14 10:35:31.405920"
14053,day-care,flexible,1,0,1,0,1,1,1,1,6,8269,0.2,31,"2017-11-14 10:35:31.405920"
14054,dog-walking,moderate,1,1,1,1,1,1,0,1,3,8270,0.2,19,"2018-02-23 10:27:37.529448"
14055,day-care,moderate,1,0,1,0,1,1,0,1,6,8270,0.2,24,"2018-02-23 10:27:37.529448"
14056,boarding,strict,1,0,1,0,1,1,0,0,1,8271,0.2,29,"2017-12-15 19:59:22.315317"
14057,dog-walking,strict,1,0,1,0,1,1,1,1,2,8272,0.2,20,"2018-06-13 09:31:16.719349"
14058,day-care,flexible,1,0,1,0,1,0,0,1,2,8272,0.2,29,"2018-06-13 09:31:16.719349"
14059,day-care,moderate,1,1,1,0,1,1,1,1,2,8273,0.2,28,"2017-10-21 12:53:00.522754"
14060,dog-walking,moderate,1,0,1,0,1,0,0,1,3,8274,0.2,23,"2017-10-08 10:07:13.878979"
14061,day-care,strict,1,0,1,1,1,1,1,1,4,8275,0.2,24,"2018-07-02 04:16:15.382149"
14062,dog-walking,moderate,1,0,1,1,1,1,1,1,5,8276,0.2,28,"2018-05-02 22:25:20.444243"
14063,dog-walking,strict,1,0,1,0,1,1,0,0,2,8277,0.15,22,"2016-11-25 17:48:30.148326"
14064,boarding,strict,1,0,1,0,1,1,0,1,4,8278,0.2,32,"2018-06-13 12:29:22.561462"
14065,dog-walking,moderate,1,0,1,0,1,1,1,0,7,8279,0.2,18,"2018-05-01 20:30:27.967716"
14066,day-care,flexible,1,0,1,0,1,1,1,1,3,8280,0.2,27,"2017-10-11 04:25:45.016203"
14067,day-care,moderate,0,0,1,1,1,0,1,1,4,8281,0.15,28,"2017-02-16 22:05:41.235028"
14068,boarding,moderate,1,0,1,0,1,1,1,1,2,8282,0.2,37,"2017-12-12 02:07:57.831090"
14069,dog-walking,moderate,1,0,1,0,1,0,1,0,5,8283,0.2,24,"2017-11-07 15:42:28.015056"
14070,day-care,moderate,1,0,1,1,1,1,1,1,2,8283,0.2,24,"2017-11-07 15:42:28.015056"
14071,dog-walking,flexible,1,0,1,0,1,1,0,1,5,8284,0.2,27,"2018-05-27 18:49:52.278451"
14072,boarding,flexible,0,0,1,0,1,1,0,1,1,8285,0.2,34,"2018-07-13 02:51:45.043227"
14073,dog-walking,flexible,1,0,0,1,1,0,1,1,3,8285,0.2,20,"2018-07-13 02:51:45.043227"
14074,day-care,strict,1,0,1,0,1,1,0,1,5,8285,0.2,27,"2018-07-13 02:51:45.043227"
14075,dog-walking,moderate,1,0,1,1,0,0,1,1,5,8286,0.2,28,"2018-05-02 08:42:24.196753"
14076,day-care,moderate,1,0,0,0,1,1,1,1,2,8286,0.2,28,"2018-05-02 08:42:24.196753"
14077,boarding,strict,1,1,1,0,1,1,1,1,2,8287,0.2,33,"2017-10-21 02:54:21.506847"
14078,dog-walking,strict,1,1,1,0,1,1,1,0,5,8287,0.2,22,"2017-10-21 02:54:21.506847"
14079,day-care,strict,1,0,1,1,1,0,0,0,5,8287,0.2,23,"2017-10-21 02:54:21.506847"
14080,boarding,strict,1,0,0,1,1,1,0,0,3,8288,0.2,33,"2018-02-03 04:34:21.923283"
14081,dog-walking,flexible,1,0,1,0,1,0,0,1,4,8288,0.2,23,"2018-02-03 04:34:21.923283"
14082,boarding,strict,1,0,1,0,1,0,1,1,3,8289,0.2,30,"2018-05-23 02:39:02.118317"
14083,boarding,strict,1,0,1,1,1,0,0,1,5,8290,0.2,35,"2017-09-04 00:11:46.493788"
14084,dog-walking,moderate,1,0,1,1,1,1,1,1,4,8290,0.2,25,"2017-09-04 00:11:46.493788"
14085,day-care,moderate,1,0,0,0,1,1,1,1,5,8290,0.2,29,"2017-09-04 00:11:46.493788"
14086,boarding,flexible,1,0,1,1,1,1,1,0,2,8291,0.2,36,"2018-06-23 07:47:30.156879"
14087,dog-walking,strict,1,0,1,0,1,1,1,1,6,8292,0.2,24,"2017-12-20 16:07:04.542415"
14088,boarding,moderate,1,0,1,0,1,0,0,1,3,8293,0.2,38,"2017-12-09 07:10:48.320092"
14089,dog-walking,moderate,1,0,1,1,1,1,1,0,2,8293,0.2,20,"2017-12-09 07:10:48.320092"
14090,day-care,strict,1,0,1,0,1,1,0,1,2,8293,0.2,27,"2017-12-09 07:10:48.320092"
14091,boarding,flexible,0,0,1,1,1,1,0,1,6,8294,0.15,29,"2016-11-18 21:53:50.043282"
14092,dog-walking,flexible,0,0,1,0,1,0,1,1,6,8294,0.15,23,"2016-11-18 21:53:50.043282"
14093,day-care,flexible,1,0,1,0,1,1,1,0,3,8294,0.15,27,"2016-11-18 21:53:50.043282"
14094,boarding,strict,1,0,1,0,1,1,1,1,2,8295,0.2,31,"2017-06-13 01:06:33.811420"
14095,dog-walking,strict,1,0,1,0,1,1,1,0,5,8296,0.2,24,"2018-02-03 00:46:11.563801"
14096,day-care,strict,1,0,1,0,1,1,1,0,4,8296,0.2,29,"2018-02-03 00:46:11.563801"
14097,dog-walking,flexible,1,0,1,1,1,1,1,0,5,8297,0.2,20,"2017-09-02 00:35:43.040376"
14098,dog-walking,strict,1,0,1,0,1,1,1,1,1,8298,0.2,23,"2018-06-23 03:28:31.627706"
14099,day-care,flexible,1,0,1,1,1,1,1,1,4,8298,0.2,32,"2018-06-23 03:28:31.627706"
14100,boarding,flexible,1,1,0,1,1,1,1,0,6,8299,0.2,33,"2018-05-05 18:20:05.111725"
14101,boarding,flexible,1,0,1,0,1,1,0,0,2,8300,0.2,38,"2018-06-14 20:58:14.622751"
14102,dog-walking,moderate,1,0,1,1,1,1,0,1,5,8300,0.2,26,"2018-06-14 20:58:14.622751"
14103,boarding,flexible,1,0,1,1,1,1,1,0,3,8301,0.15,37,"2016-11-27 05:37:04.771229"
14104,dog-walking,moderate,1,0,0,0,1,0,0,1,4,8301,0.15,20,"2016-11-27 05:37:04.771229"
14105,day-care,moderate,1,0,1,0,1,1,0,1,4,8302,0.2,23,"2018-03-03 15:01:47.869962"
14106,boarding,flexible,1,0,0,0,1,0,1,0,2,8303,0.15,28,"2017-03-17 10:47:32.774356"
14107,day-care,flexible,1,0,1,1,1,1,0,1,4,8303,0.15,24,"2017-03-17 10:47:32.774356"
14108,boarding,flexible,1,0,1,1,1,1,0,0,5,8304,0.2,34,"2017-11-06 04:17:41.248436"
14109,day-care,moderate,1,0,1,0,1,0,1,0,4,8304,0.2,21,"2017-11-06 04:17:41.248436"
14110,boarding,moderate,1,0,1,1,0,1,1,1,2,8305,0.15,36,"2017-05-07 17:11:21.044463"
14111,day-care,flexible,1,1,1,0,1,1,0,1,1,8305,0.15,28,"2017-05-07 17:11:21.044463"
14112,day-care,flexible,0,0,1,0,1,0,0,1,3,8306,0.2,28,"2018-02-11 14:05:20.180878"
14113,boarding,moderate,1,0,1,0,1,1,0,1,1,8307,0.2,31,"2018-05-18 09:25:18.752501"
14114,dog-walking,flexible,1,0,1,1,0,0,1,1,2,8307,0.2,26,"2018-05-18 09:25:18.752501"
14115,day-care,strict,1,0,1,1,1,1,0,1,6,8307,0.2,27,"2018-05-18 09:25:18.752501"
14116,boarding,flexible,1,0,1,0,1,1,1,1,5,8308,0.2,34,"2018-03-11 02:21:34.553974"
14117,boarding,flexible,1,0,1,0,1,1,0,1,8,8309,0.15,34,"2017-02-15 20:19:20.464209"
14118,day-care,flexible,1,1,0,0,1,1,1,1,6,8309,0.15,31,"2017-02-15 20:19:20.464209"
14119,day-care,flexible,1,0,1,1,0,1,1,1,3,8310,0.2,23,"2018-05-10 19:47:17.612524"
14120,dog-walking,flexible,1,0,1,0,1,1,1,1,3,8311,0.2,20,"2017-11-19 12:07:14.989460"
14121,day-care,strict,1,0,1,0,1,1,0,1,4,8311,0.2,26,"2017-11-19 12:07:14.989460"
14122,dog-walking,strict,1,0,0,0,1,0,0,0,5,8312,0.2,21,"2018-04-04 23:18:24.684867"
14123,day-care,flexible,1,1,0,1,1,1,1,1,5,8312,0.2,25,"2018-04-04 23:18:24.684867"
14124,dog-walking,strict,1,1,1,0,1,1,1,1,4,8313,0.2,20,"2017-10-04 21:49:13.515081"
14125,boarding,strict,1,1,1,1,1,1,1,1,3,8314,0.15,42,"2017-03-28 02:20:57.397843"
14126,day-care,flexible,1,1,1,1,1,1,0,0,6,8314,0.15,25,"2017-03-28 02:20:57.397843"
14127,dog-walking,flexible,1,0,1,0,1,0,0,1,3,8315,0.15,18,"2016-10-15 00:34:56.975981"
14128,dog-walking,flexible,1,0,1,1,1,1,0,0,2,8316,0.2,19,"2017-07-30 14:32:40.608571"
14129,dog-walking,flexible,1,0,1,1,1,1,1,1,7,8317,0.15,19,"2017-04-09 11:04:43.943915"
14130,day-care,strict,1,1,0,0,1,0,1,1,2,8317,0.15,32,"2017-04-09 11:04:43.943915"
14131,boarding,moderate,1,0,1,1,1,1,0,1,3,8318,0.2,39,"2018-07-01 11:13:25.849200"
14132,day-care,strict,1,0,1,0,1,1,0,0,5,8318,0.2,22,"2018-07-01 11:13:25.849200"
14133,dog-walking,flexible,1,1,1,1,1,1,1,0,5,8319,0.2,23,"2017-11-28 17:35:48.179928"
14134,day-care,flexible,1,0,1,0,1,1,0,1,2,8320,0.2,29,"2018-06-20 05:43:53.186677"
14135,dog-walking,flexible,1,0,1,0,1,1,1,1,5,8321,0.2,24,"2018-07-31 22:33:06.899997"
14136,day-care,flexible,1,1,1,0,1,1,1,0,1,8321,0.2,31,"2018-07-31 22:33:06.899997"
14137,dog-walking,moderate,1,0,1,0,1,1,1,1,3,8322,0.2,23,"2017-12-15 18:11:36.831121"
14138,boarding,moderate,1,0,1,0,0,1,0,1,5,8323,0.15,41,"2017-05-04 05:14:14.828657"
14139,dog-walking,moderate,1,0,0,1,1,1,1,0,5,8324,0.2,24,"2017-12-06 20:24:18.042996"
14140,dog-walking,moderate,1,0,0,0,1,1,1,1,2,8325,0.2,19,"2017-07-22 02:18:12.512171"
14141,day-care,flexible,1,0,1,1,0,1,1,1,2,8325,0.2,24,"2017-07-22 02:18:12.512171"
14142,boarding,moderate,1,0,0,0,1,1,0,1,5,8326,0.15,34,"2017-05-16 20:42:13.523178"
14143,dog-walking,flexible,1,0,0,1,1,0,0,1,4,8326,0.15,21,"2017-05-16 20:42:13.523178"
14144,boarding,moderate,1,0,1,0,1,1,1,0,2,8327,0.2,30,"2018-01-29 22:03:04.424663"
14145,dog-walking,flexible,1,0,1,1,1,0,0,1,1,8327,0.2,26,"2018-01-29 22:03:04.424663"
14146,day-care,flexible,1,0,1,0,1,1,0,1,7,8327,0.2,30,"2018-01-29 22:03:04.424663"
14147,dog-walking,flexible,1,0,1,1,1,0,1,1,4,8328,0.15,24,"2017-05-09 19:43:15.064479"
14148,boarding,flexible,1,0,1,0,1,0,1,1,3,8329,0.2,41,"2018-05-17 09:44:22.481425"
14149,dog-walking,moderate,1,1,1,0,1,1,0,1,5,8329,0.2,24,"2018-05-17 09:44:22.481425"
14150,day-care,strict,1,0,1,0,1,1,1,1,4,8329,0.2,28,"2018-05-17 09:44:22.481425"
14151,boarding,moderate,1,0,1,0,1,1,1,1,4,8330,0.15,35,"2017-02-05 22:05:41.060725"
14152,dog-walking,moderate,1,0,1,0,1,1,1,0,3,8330,0.15,24,"2017-02-05 22:05:41.060725"
14153,day-care,strict,1,0,1,0,1,1,1,0,6,8330,0.15,25,"2017-02-05 22:05:41.060725"
14154,day-care,flexible,1,1,1,1,1,0,1,0,4,8331,0.15,26,"2017-04-03 00:21:05.685939"
14155,boarding,flexible,1,1,1,0,1,1,0,1,5,8332,0.2,33,"2017-08-10 04:18:14.010153"
14156,dog-walking,moderate,0,1,1,0,1,0,0,1,4,8332,0.2,25,"2017-08-10 04:18:14.010153"
14157,day-care,moderate,1,0,1,0,1,1,1,1,7,8332,0.2,28,"2017-08-10 04:18:14.010153"
14158,boarding,strict,1,1,1,0,1,1,1,1,6,8333,0.2,33,"2018-07-11 17:07:55.390556"
